		strain AcoPra	Frankia alni ACN14a	Frankia sp. QA3	Frankia torreyi ACN1ag	Frankia alni AvcI1	Frankia torreyi CpI1-S	Candidatus Frankia alpina AvVan	Frankia canadensi ARgP5	Candidatus Frankia nodulisporulans AgTrS	Candidatus Frankia alpina AiOr	Candidatus Frankia nodulisporulans AgUmASt1	Candidatus Frankia nodulisporulans AgUmASH1	Frankia casuarinae CcI3	Frankia casuarinae CcI6	Frankia casuarinae Thr	Frankia casuarinae CeD	Frankia casuarinae Allo2	Frankia casuarinae BR	Frankia casuarinae KB5	Candidatus Frankia californiensis Dg2	Candidatus Frankia datiscae Dg1	Frankia coriaria BMG5.1	Frankia meridionalis Cppng1	Frankia sp. EAN1pec	Frankia sp. EUN1f	Frankia discariae BCU110501	Frankia elaeagni BMG5.12	Frankia irregularis G2	Frankia soli NRRL B-16219	Frankia inefficax EuI1c	Frankia saprophytica CN3	Frankia sp. DC12	Frankia asymbiotica M16386
33_frankia_FAM002576	>FRAACOPRA_v1_230014|ID:78957433| Transcriptional regulator, TetR family [Frankia AcoPRA]	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	2	3	2	0	1
33_frankia_FAM002577	>FRAACOPRA_v1_230023|ID:78957442| 3-(3-hydroxyphenyl)propionate hydroxylase [Frankia AcoPRA]	1	3	2	2	3	2	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	2	0	3	1	2	0	1	2	1	1	0	1
33_frankia_FAM002579	>FRAACOPRA_v1_230026|ID:78957445| Cytidine and deoxycytidylate deaminase zinc-binding region [Frankia AcoPRA]	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
33_frankia_FAM002580	>FRAACOPRA_v1_230027|ID:78957446|vanA| Vanillate O-demethylase oxygenase subunit [Frankia AcoPRA]	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
33_frankia_FAM002581	>FRAACOPRA_v1_230029|ID:78957448| Abhydrolase_3 domain-containing protein [Frankia AcoPRA]	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0
33_frankia_FAM002582	>FRAACOPRA_v1_230030|ID:78957449| conserved protein of unknown function [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	2	2	4	6	0	2
33_frankia_FAM002585	>FRAACOPRA_v1_230034|ID:78957453| PE-PGRS family protein [Frankia AcoPRA]	2	2	3	3	2	3	1	3	1	1	0	0	2	2	2	2	2	2	1	2	1	1	1	4	4	2	3	4	2	0	0	0	0
33_frankia_FAM002586	>FRAACOPRA_v1_230036|ID:78957455| conserved protein of unknown function [Frankia AcoPRA]	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	1	1	1
33_frankia_FAM002587	>FRAACOPRA_v1_230037|ID:78957456|nei| Endonuclease 8 1 [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM002588	>FRAACOPRA_v1_230047|ID:78957466| ABC transporter substrate-binding protein [Frankia AcoPRA]	1	2	2	3	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM002589	>FRAACOPRA_v1_230050|ID:78957469|cloR| 4-hydroxy-3-prenylphenylpyruvate oxygenase/4-hydroxy-3-prenylbenzoate synthase [Frankia AcoPRA]	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	2	1	0	2	1	1	1	1	2
33_frankia_FAM002590	>FRAACOPRA_v1_230051|ID:78957470| Alkyl hydroperoxide reductase [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0
33_frankia_FAM002592	>FRAACOPRA_v1_230064|ID:78957483| membrane protein of unknown function [Frankia AcoPRA]	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
33_frankia_FAM002593	>FRAACOPRA_v1_230066|ID:78957485| Transcriptional regulator, AraC family [Frankia AcoPRA]	1	1	3	1	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4	4	3	4	4	4	1	5
33_frankia_FAM002594	>FRAACOPRA_v1_230069|ID:78957488| Carnitine dehydratase [Frankia AcoPRA]	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	0	0
33_frankia_FAM002595	>FRAACOPRA_v1_230072|ID:78957491| protein of unknown function [Frankia AcoPRA]	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	1	0	0	0	0
33_frankia_FAM002596	>FRAACOPRA_v1_230073|ID:78957492| Esterase [Frankia AcoPRA]	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	2	2	2	1
33_frankia_FAM002597	>FRAACOPRA_v1_230074|ID:78957493| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0
33_frankia_FAM002598	>FRAACOPRA_v1_230075|ID:78957494| Putative conserved integral membrane protein [Frankia AcoPRA]	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
33_frankia_FAM002599	>FRAACOPRA_v1_230076|ID:78957495| Putative Oxidoreductase, 2OG-Fe(II) oxygenase family [Frankia AcoPRA]	2	2	1	0	2	0	0	2	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	3	0	6	9	3	6
33_frankia_FAM002600	>FRAACOPRA_v1_230077|ID:78957496| (2Fe-2S)-binding protein [Frankia AcoPRA]	1	1	1	1	1	1	1	2	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	3	4	2	2	3	2	3	3	1	3
33_frankia_FAM002601	>FRAACOPRA_v1_230080|ID:78957499| Intracellular protease, PfpI family [Frankia AcoPRA]	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	1	0	1
33_frankia_FAM002602	>FRAACOPRA_v1_230081|ID:78957500| bacteriophytochrome heme oxygenase BphO [Frankia AcoPRA]	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
33_frankia_FAM002603	>FRAACOPRA_v1_230082|ID:78957501| Histidine kinase [Frankia AcoPRA]	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
33_frankia_FAM002604	>FRAACOPRA_v1_230083|ID:78957502| Antitoxin [Frankia AcoPRA]	1	1	1	2	1	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	1
33_frankia_FAM002605	>FRAACOPRA_v1_230084|ID:78957503| APH domain-containing protein [Frankia AcoPRA]	1	4	4	4	4	4	2	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	2	1	2
33_frankia_FAM002606	>FRAACOPRA_v1_230085|ID:78957504| Putative sigma factor includes region 2 [Frankia AcoPRA]	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	4	3	1	4
33_frankia_FAM002607	>FRAACOPRA_v1_230086|ID:78957505| Methionine aminopeptidase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
33_frankia_FAM002608	>FRAACOPRA_v1_230087|ID:78957506| putative Acyl-CoA dehydrogenase; dibenzothiophene desulfurization enzyme [Frankia AcoPRA]	2	0	3	2	0	2	0	2	1	2	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	1	2	1	1	1
33_frankia_FAM002609	>FRAACOPRA_v1_230090|ID:78957509| conserved exported protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM002610	>FRAACOPRA_v1_230091|ID:78957510| Regulatory protein TetR [Frankia AcoPRA]	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
33_frankia_FAM002612	>FRAACOPRA_v1_230093|ID:78957512| Luciferase-like monooxygenase [Frankia AcoPRA]	4	7	7	4	7	5	1	5	2	3	2	2	2	2	2	2	2	2	2	3	1	3	1	11	12	9	6	11	6	11	11	7	12
33_frankia_FAM002613	>FRAACOPRA_v1_230094|ID:78957513| conserved membrane protein of unknown function [Frankia AcoPRA]	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	0	1	0	2	1	2	1
33_frankia_FAM002614	>FRAACOPRA_v1_230097|ID:78957516| Putative HTH-type transcriptional regulator [Frankia AcoPRA]	1	1	1	2	2	2	2	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	2
33_frankia_FAM002615	>FRAACOPRA_v1_230099|ID:78957518| Acyl-CoA dehydrogenase [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	1
33_frankia_FAM002616	>FRAACOPRA_v1_240010|ID:78957531| ABC-type dipeptide transport system, periplasmic component [Frankia AcoPRA]	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
33_frankia_FAM002617	>FRAACOPRA_v1_240014|ID:78957535| AB hydrolase-1 domain-containing protein [Frankia AcoPRA]	2	1	2	1	1	1	0	2	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	2	0	2
33_frankia_FAM002618	>FRAACOPRA_v1_240020|ID:78957541|xylB| Xylulose kinase [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1
33_frankia_FAM002619	>FRAACOPRA_v1_240021|ID:78957542|xylA| Xylose isomerase [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1
33_frankia_FAM002620	>FRAACOPRA_v1_240022|ID:78957543| conserved protein of unknown function [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0
33_frankia_FAM002621	>FRAACOPRA_v1_240026|ID:78957547| TetR family transcriptional regulator [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	7	4	8	7	11	9	2	9
33_frankia_FAM002622	>FRAACOPRA_v1_240033|ID:78957554|ltrA| Group II intron reverse transcriptase/maturase [Frankia AcoPRA]	1	0	0	2	0	2	1	1	0	1	0	0	2	1	3	2	1	1	0	3	2	0	1	1	2	1	2	2	0	0	1	1	1
33_frankia_FAM002623	>FRAACOPRA_v1_240034|ID:78957555| conserved protein of unknown function [Frankia AcoPRA]	3	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	1	1	0	1	0	1
33_frankia_FAM002624	>FRAACOPRA_v1_240035|ID:78957556| S-adenosyl-L-methionine-dependent methyltransferase [Frankia AcoPRA]	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	0	1	0	1	1	2	0	1	1	1	1	0	1
33_frankia_FAM002625	>FRAACOPRA_v1_240039|ID:78957560| putative Chaperone modulatory protein CbpM [Frankia AcoPRA]	1	1	2	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	2	2	1	1	1	1	1	0	1
33_frankia_FAM002626	>FRAACOPRA_v1_240040|ID:78957561|cbpA| Curved DNA-binding protein [Frankia AcoPRA]	3	3	3	3	3	3	2	2	2	2	2	2	3	3	3	3	3	3	3	3	2	2	2	3	4	4	3	3	3	3	3	2	3
33_frankia_FAM002627	>FRAACOPRA_v1_240041|ID:78957562|grpE| Protein GrpE [Frankia AcoPRA]	1	1	2	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	2	2	1	1	1	1	1	0	1
33_frankia_FAM002628	>FRAACOPRA_v1_240043|ID:78957564| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
33_frankia_FAM002629	>FRAACOPRA_v1_240045|ID:78957566| Thioredoxin reductase [Frankia AcoPRA]	2	2	2	1	2	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	1	2	3	2	1	3
33_frankia_FAM002630	>FRAACOPRA_v1_240048|ID:78957569| Putative chaperone locus transcriptional regulator, HspR [Frankia AcoPRA]	2	2	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	2	1	2	1	3	2	1	1
33_frankia_FAM002631	>FRAACOPRA_v1_240053|ID:78957574| Cyclase/dehydrase [Frankia AcoPRA]	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1
33_frankia_FAM002635	>FRAACOPRA_v1_240065|ID:78957586| conserved protein of unknown function [Frankia AcoPRA]	2	0	1	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0
33_frankia_FAM002636	>FRAACOPRA_v1_240066|ID:78957587| Multidrug efflux ATP-binding/permease protein BCG_0231 [Frankia AcoPRA]	2	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	2	0	1	1	0	0	1	1	1	1	1	1	1
33_frankia_FAM002639	>FRAACOPRA_v1_240078|ID:78957599| Beta-lactamase domain protein [Frankia AcoPRA]	1	0	1	0	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0
33_frankia_FAM002640	>FRAACOPRA_v1_240080|ID:78957601| protein of unknown function [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	0	0	0
33_frankia_FAM002641	>FRAACOPRA_v1_240081|ID:78957602| transposase [Frankia AcoPRA]	1	3	1	1	1	3	1	2	0	2	0	0	6	3	4	4	2	2	4	1	1	1	0	4	0	4	4	0	4	0	2	1	4
33_frankia_FAM002642	>FRAACOPRA_v1_240082|ID:78957603| protein of unknown function [Frankia AcoPRA]	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
33_frankia_FAM002643	>FRAACOPRA_v1_240084|ID:78957605| Riboflavin biosynthesis intermediates N-glycosidase [Frankia AcoPRA]	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	1	1
33_frankia_FAM002644	>FRAACOPRA_v1_240088|ID:78957609| Addiction module toxin RelE [Frankia AcoPRA]	1	0	3	1	0	2	1	2	0	1	0	0	2	2	2	2	2	2	2	3	3	5	7	1	5	0	2	2	3	1	1	1	1
33_frankia_FAM002645	>FRAACOPRA_v1_240091|ID:78957612|ltrA| Group II intron reverse transcriptase/maturase [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM002646	>FRAACOPRA_v1_240092|ID:78957613| Mrr_cat domain-containing protein [Frankia AcoPRA]	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1
33_frankia_FAM002647	>FRAACOPRA_v1_240094|ID:78957615| TetR family transcriptional regulator [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	3	4	4	4	2	2	3
33_frankia_FAM002648	>FRAACOPRA_v1_240095|ID:78957616| Cytochrome P450 [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0
33_frankia_FAM002649	>FRAACOPRA_v1_240097|ID:78957618| Peroxidase [Frankia AcoPRA]	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	1	1	0	1
33_frankia_FAM002653	>FRAACOPRA_v1_250001|ID:78957628| protein of unknown function [Frankia AcoPRA]	1	0	0	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1
33_frankia_FAM002654	>FRAACOPRA_v1_250002|ID:78957629| conserved protein of unknown function [Frankia AcoPRA]	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
33_frankia_FAM002655	>FRAACOPRA_v1_250003|ID:78957630| MFS transporter [Frankia AcoPRA]	2	2	3	1	3	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	2	4	3	3	1
33_frankia_FAM002658	>FRAACOPRA_v1_250009|ID:78957636| conserved protein of unknown function [Frankia AcoPRA]	1	2	1	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	2	1	2	2	2	2	3	2	2	2
33_frankia_FAM002659	>FRAACOPRA_v1_250012|ID:78957639| Histidine kinase with cyclic nucleotide-binding domain [Frankia AcoPRA]	1	1	1	1	1	1	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	2	1	1	2
33_frankia_FAM002660	>FRAACOPRA_v1_250015|ID:78957642| exported protein of unknown function [Frankia AcoPRA]	2	1	2	2	2	2	1	3	2	1	2	2	2	2	2	2	2	2	2	0	0	0	0	3	1	2	1	2	2	3	2	1	2
33_frankia_FAM002661	>FRAACOPRA_v1_250016|ID:78957643| Zn-dependent hydrolase, glyoxylase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM002662	>FRAACOPRA_v1_250018|ID:78957645| F420H(2)-dependent biliverdin reductase [Frankia AcoPRA]	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM002663	>FRAACOPRA_v1_250021|ID:78957648| Signal transduction histidine kinase [Frankia AcoPRA]	3	2	3	2	2	2	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	4	2	4	5	2	3
33_frankia_FAM002664	>FRAACOPRA_v1_250022|ID:78957649| conserved protein of unknown function [Frankia AcoPRA]	1	1	2	2	1	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
33_frankia_FAM002665	>FRAACOPRA_v1_250024|ID:78957651| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
33_frankia_FAM002666	>FRAACOPRA_v1_250025|ID:78957652| Dihydroflavonol 4-reductase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	1
33_frankia_FAM002667	>FRAACOPRA_v1_250026|ID:78957653| Peptidase_M78 domain-containing protein [Frankia AcoPRA]	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	1
33_frankia_FAM002668	>FRAACOPRA_v1_250027|ID:78957654| conserved protein of unknown function [Frankia AcoPRA]	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1
33_frankia_FAM002669	>FRAACOPRA_v1_250030|ID:78957657|mmgB| 3-hydroxybutyryl-CoA dehydrogenase [Frankia AcoPRA]	1	1	2	2	3	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	2	2	3
33_frankia_FAM002670	>FRAACOPRA_v1_250031|ID:78957658| Malate permease [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM002671	>FRAACOPRA_v1_250032|ID:78957659| protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1
33_frankia_FAM002672	>FRAACOPRA_v1_250033|ID:78957660|alkB| Alkane 1-monooxygenase [Frankia AcoPRA]	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1
33_frankia_FAM002673	>FRAACOPRA_v1_250034|ID:78957661| protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1
33_frankia_FAM002674	>FRAACOPRA_v1_250035|ID:78957662| 1-acyl-sn-glycerol-3-phosphate acyltransferase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
33_frankia_FAM002675	>FRAACOPRA_v1_250036|ID:78957663| M50 family metallopeptidase [Frankia AcoPRA]	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	2	1	2	2	2	1
33_frankia_FAM002676	>FRAACOPRA_v1_250037|ID:78957664| Abasic site processing protein [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM002677	>FRAACOPRA_v1_250039|ID:78957666| YceI domain-containing protein [Frankia AcoPRA]	1	2	2	2	2	2	0	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	3	1	1	3	2	1	2	2	3	1	1
33_frankia_FAM002678	>FRAACOPRA_v1_250041|ID:78957668| DNA uptake protein [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM002679	>FRAACOPRA_v1_250043|ID:78957670| ComEC/Rec2-related protein [Frankia AcoPRA]	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1
33_frankia_FAM002680	>FRAACOPRA_v1_250044|ID:78957671| DNA polymerase III, delta subunit [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM002682	>FRAACOPRA_v1_250046|ID:78957673|rpsT| 30S ribosomal protein S20 [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM002683	>FRAACOPRA_v1_250047|ID:78957674|lepA| ribosomal elongation factor, GTPase [Frankia AcoPRA]	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM002684	>FRAACOPRA_v1_250048|ID:78957675| conserved protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM002685	>FRAACOPRA_v1_250049|ID:78957676|hemW| Heme chaperone HemW [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM002686	>FRAACOPRA_v1_250050|ID:78957677|hrcA| Heat-inducible transcription repressor HrcA [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM002687	>FRAACOPRA_v1_250053|ID:78957680|rsmE| Ribosomal RNA small subunit methyltransferase E [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM002688	>FRAACOPRA_v1_250054|ID:78957681|phoH| phosphate starvation-induced protein [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
33_frankia_FAM002689	>FRAACOPRA_v1_250055|ID:78957682|ybeY| Endoribonuclease YbeY [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM002690	>FRAACOPRA_v1_250056|ID:78957683| conserved membrane protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
33_frankia_FAM002691	>FRAACOPRA_v1_250057|ID:78957684| Cytidine deaminase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM002692	>FRAACOPRA_v1_250058|ID:78957685|era| maturation of 16S RNA and assembly of 30S ribosomal subunit GTPase [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM002693	>FRAACOPRA_v1_250059|ID:78957686| protein of unknown function [Frankia AcoPRA]	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0
33_frankia_FAM002694	>FRAACOPRA_v1_250060|ID:78957687|recO| DNA repair protein RecO [Frankia AcoPRA]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1
33_frankia_FAM002696	>FRAACOPRA_v1_250062|ID:78957689| Trans,polycis-polyprenyl diphosphate synthase ((2Z,6E)-farnesyl diphosphate specific) [Frankia AcoPRA]	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	2	1	2	1	2	1	1
33_frankia_FAM002697	>FRAACOPRA_v1_250063|ID:78957690| protein of unknown function [Frankia AcoPRA]	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
